vehicle,category,pool
5372,Vagn,B7
5373,Vagn,B7
5374,Vagn,B7
5375,Vagn,B7
5376,Vagn,B7
5377,Vagn,B7
5378,Vagn,B7
5379,Vagn,B7
5380,Vagn,B7
5381,Vagn,B7
5382,Vagn,B7
5383,Vagn,B7
5384,Vagn,B7
5385,Vagn,B7
5386,Vagn,B7
5387,Vagn,B7
5388,Vagn,B7
5389,Vagn,B7
5390,Vagn,B7
5391,Vagn,B7
5392,Vagn,B7
5393,Vagn,B7
5394,Vagn,B7
5395,Vagn,B7
5396,Vagn,B7
5397,Vagn,B7
5398,Vagn,B7
5399,Vagn,B7
5400,Vagn,B7
5401,Vagn,BF4
5402,Vagn,BF7
5403,Vagn,BF7
5404,Vagn,BF7
5405,Vagn,BF4-P
5406,Vagn,BF4-P
5407,Vagn,BF4-P
5408,Vagn,BF4-P
5409,Vagn,BF4-P
5410,Vagn,BF4-P
5411,Vagn,BF4-P
5412,Vagn,BF7
5413,Vagn,BF4
5414,Vagn,BF4A
5415,Vagn,BF7
5416,Vagn,BF4
5417,Vagn,BF4
5418,Vagn,BF4
5419,Vagn,BF4
5420,Vagn,BF4
5421,Vagn,BF4
5422,Vagn,BF4
5423,Vagn,BF4
5424,Vagn,BF4A
5425,Vagn,BF4A
5426,Vagn,BC4-P
5427,Vagn,BC4-P
5428,Vagn,BC4-P
5429,Vagn,BC4-P
5430,Vagn,BC4-P
5431,Vagn,BC4-P
5432,Vagn,BC4-P
5433,Vagn,BC4-P
5434,Vagn,BC4-P
5435,Vagn,BC4-P
5436,Vagn,BC4-P
5437,Vagn,BC4-P
5438,Vagn,BC4-P
5439,Vagn,BC4-P
5440,Vagn,BC4-P
5441,Vagn,S12
5442,Vagn,S12
5443,Vagn,S12
5444,Vagn,S12
5445,Vagn,S12
5446,Vagn,RB11
5447,Vagn,RB11
5448,Vagn,S12
5449,Vagn,RB11
5450,Vagn,RB11
5451,Vagn,RB11
5452,Vagn,R4
5453,Vagn,R4
5454,Vagn,R4
5455,Vagn,R4
5456,Vagn,BF4A
